oexeosrlxq;Con quale metodo di trasformazione da linguaggio ad alto livello a istruzioni pe
oldnuetsfx;Quando un predicato è “sargabile”? (*) Quando può essere valutato utilizzando u
ownmhihmlf;Nella frase SELECT la parte WHERE: ( ) ordina il risultato ( ) cancella il risu
oxinyiwtdw;Che parole sottende l' acronimo ACID: ( ) Automatico, Compresso, Ignorabile, 
pdegmbefyz;Quale dei seguenti è un linguaggio strutturato: ( ) COBOL (*) Pascal ( ) Fo
pnornaipiy;In quale ordine sono stati proposti i seguenti paradigmi di programmazione: (
pozlktnbwi;Che diagramma è il seguente? [IMG GI_diagram_5.jpg] (*) Class diagram ( )
pralrcttdk;Quali sono le caratteristiche della programmazione funzionale: ( ) Singola en
ptfyswhhoi;La frase CREATE INDEX MIOINDICE ON CLIENTI(INDIRIZZO OR CITTA): ( ) Crea un ind
ptvnijvlyr;Il vostro database mostra costanti segni di rallentamento man mano che l’utente 
qfpxivqgfs;L' acronimo SQL sta per: ( ) Simil Quote Language (*) Structured Query Language
qhpmwyunln;Che operazione è il prodotto cartesiano tra due tabelle? ( ) La concatenazion
qhurfzksbi;L' istruzione SQL per modificare i dati nell' archivio è:( ) EDIT(*) UPDATE(
qyfsksfpqr;Il linguaggio SQL è applicato ai sistemi:( ) NoSQL( ) Codasyl(*) RDBMS( ) I
rcvjbkxijb;Chi ha inventato il linguaggio Java?( ) Niklaus Wirth( ) Guido Van Rossum
rfveenepae;Quanti record ha il prodotto cartesiano tra due tabelle con 1000 record ciascuna
rjqonwgagd;Nella frase SELECT * FROM CLIENTI, cosa indica l' asterisco:( ) che il risulta
rjrbsovupf;Un "flow chart" tipicamente descrive:( ) Un insieme di classi(*) Una proce
rkpyhnweoz;Cosa NON è un "code smell"?( ) Un codice che di per se non è errato ma potrebb
rlbnjnuraa;Qual è il miglior indice per velocizzare la seguente query? SELECT CODICE,DESC
rqlhmwvvfr;Nella frase SELECT CODICE,DESCR FROM CLIENTI ORDER BY 2: ( ) I dati non vengono
shwidpusut;Una transazione deve essere "atomica", cioè: ( ) Deve avvenire con una tempor
slfnwkouex;Il linguaggio SQL può essere diviso in: ( ) DLL: dynamic link library e DQL: da
soaxrpkmyx;L' istruzione SQL per creare un indice è: (*) CREATE INDEX ( ) ADD INDEX ( ) IN
tahwadyybr;Quale frase SQL è corretta per ottenere i dati degli Ordini che sono contenuti i
tmalpukvph;In cosa consiste l' operazione di ROLL FORWARD? ( ) Nel confermare le scrittu
tmptxxfqlg;Nella frase SELECT la parte SUBSELECT: ( ) esegue la query sul risultato di un'
twjbzfuzhs;L’operazione “TABLE SCAN” viene eseguita in un tempo: (*) Dipendente dalla mole
uciubnhesv;Per ottenere tutti i clienti con il fido superiore a 1000 Euro qual è la frase c
uctsvufnre;Quale delle seguenti sequenze di fasi dello sviluppo è nell' ordine corretto:
ukteiawtcu;In un’espressione di ricerca è  più selettivo un campo contente il MESE o un cam
uoujmoastk;L' istruzione SQL per inserire i dati nell' archivio è:(*) INSERT( ) ADD( ) 
usloxptlnv;Quale dei seguenti campi è il più selettivo?( ) Un campo numerico (*) Un campo
vcetherudx;La selettività può variare a seconda dei dati contenuti nell' archivio? ( ) No
vwesvpdxeu;Quale di queste espressioni non riesce ad usare l’indice sul NOME? ( ) NOME >= 
wbimqkxjpk;Qual è il miglior indice per velocizzare la seguente query? SELECT CODICE,DESC
wduzcrmbqr;Nella frase SELECT la parte FROM: (*) è obbligatoria ( ) è obbligatoria solo se
wgqmilmeeo;Che cosa s’intende per selettività di un’espressione d’interrogazione? (*) E’ l
wqoeigleak;Quale dei seguenti linguaggi non implementa l' ereditarietà multipla: ( ) Eif
wyidhotyrc;Come garantisce il database l' isolamento delle transazioni? ( ) Con i lock d
wyohxxjmbr;La frase SELECT COUNT(*) AS NCLIENTI FROM CLIENTI, in caso di archivio vuoto: (
xcvjgpwpgd;Dalla frase SQL "SELECT * FROM ORDINI,ORDINI_M" cosa ottengo? ( ) Tutti gli ord
xdfzuqqaxc;Nella frase SELECT la parte FROM: ( ) specifica gli indici da utilizzare (*) sp
xdpxeikdtg;Cosa asserisce la legge empirica di Moore: ( ) Che il tempo di puntamento è pro
xxigdvhajv;Quale delle seguenti licenze open source non può essere utilizzata in un prodott
xymzioajbw;Quali delle seguenti operazioni sono “verdi”, cioè hanno un tempo di esecuzione 
yjakijsehd;Quale dei seguenti è un linguaggio funzionale: ( ) COBOL ( ) Fortran (*) LI
ynkrhlsqhx;La frase SELECT * FROM CLIENTI WHERE COUNT(*)>0: ( ) Torna tutti i clienti se c
ypvazwngub;L’operatore LIKE: (*) Utilizza gli indici se il valore di confronto non inizia 
yvbkrvodje;Il vostro database ha un improvviso peggioramento delle prestazioni man mano che
zmivrwbcja;La frase SELECT CODICE, DESCRIZIONE FROM CLIENTI ORDER BY 2 ritorna: ( ) Un cod
zriwusbhcv;In una tabella la chiave primaria è costituita dai campi MAGAZZINO e ARTICOLO. I
zvsnjqiaqb;La frase SELECT * FROM FATTURE LEFT OUTER JOIN CLIENTI ON FATTURE.CODCLI=CLIENTI
